dataset_id,name,url,object,license,access,size_note,format_note,lessons,base_usage,risk_level,risk_note,implementation_status
zenodo_motor_temperature,ElectricMotorTemperature,https://zenodo.org/records/11235562,"электродвигатель, представленный многомерными временными рядами (multivariate time series)",CC BY 4.0,прямая загрузка Zenodo,"TRAIN около 104 МБ, TEST около 45 МБ; фрагменты длиной 60 отсчетов",TSML .ts,"1,2,3",реализованный внешний блокнот; используется для анализа временных признаков и регрессии температуры,средний,физические имена каналов в архиве не заданы; требуется групповое разбиение по profile_id,external_notebook_ready
pmsm_inverter_fault_zenodo,Comprehensive Dataset for Fault Detection and Diagnosis in Inverter-Driven PMSM Systems,https://zenodo.org/records/14482932,"PMSM-инвертор, лабораторная диагностика",CC BY 4.0,прямая загрузка Zenodo,компактный архив около 1.1 МБ по данным карточки источника,CSV / zip,"1,2,3",расширение для диагностики и регрессии температурных признаков,низкий,"исходная постановка ближе к диагностике, чем к расчету КПД",external_notebook_ready
ev_powertrain_efficiency,Processed Data for EV Powertrain Efficiency,https://data.mendeley.com/datasets/kbwr2z8r3y,электропривод транспортного средства,CC BY 4.0,Mendeley Data,размер на карточке не указан,CSV и Jupyter Notebook,"1,2",дополнительный источник по энергетической эффективности,средний,"КПД расчетный, а не прямое стендовое измерение двигателя",external_notebook_ready
system_identification_electric_motor,Identifying the Physics Behind an Electric Motor,https://www.kaggle.com/datasets/hankelea/system-identification-of-an-electric-motor,PMSM и двухуровневый IGBT-инвертор,Data files copyright original authors; условия переиздания неясны,Kaggle,около 40 млн образцов,табличные файлы Kaggle,"1,2",продвинутый источник для системной идентификации,высокий,очень большой объем; неясная лицензия; нет температур и КПД,methodology_only
ipmsm_motor_parameters,Dataset for motor parameters of IPMSM,https://www.kaggle.com/datasets/uuuuuuuuu/dataset-motor-parameters-ipmsm/data,"параметры и геометрия синхронного двигателя с внутренним расположением постоянных магнитов (Interior Permanent Magnet Synchronous Motor, IPMSM)",CC BY-SA 4.0,Kaggle,CSV и изображения геометрии,"CSV, PNG","1,2",дополнительный источник по суррогатным моделям (surrogate models) параметров двигателя,средний,"данные расчетно-синтетические, не стендовые",methodology_only
pmsm_foc_mendeley,PMSM_FOC dataset,https://data.mendeley.com/datasets/6tjkgtfnky/2,PMSM с Field Oriented Control,CC BY 4.0,Mendeley Data,размер на карточке не указан,"MAT, JPG","1,2,3",модельная динамика управления; опциональная регрессия ошибки скорости,средний,симуляционные данные; требуется scipy.io.loadmat,methodology_only
permanent_magnet_dc_worm_motor,Permanent Magnet DC Worm Geared Motor Data,https://data.mendeley.com/datasets/2rkpsss6fd/2,двигатель постоянного тока с червячным редуктором,CC BY 4.0,Mendeley Data,около 27 МБ по статье Data in Brief,Excel / raw files,"1,2,3","понятные признаки: напряжение, ток, скорость; хорош для вводного анализа",средний,нужна предварительная нормализация листов Excel,methodology_only
uci_ai4i_2020,AI4I 2020 Predictive Maintenance Dataset,https://archive.ics.uci.edu/dataset/601/ai4i,синтетическая промышленная установка,CC BY 4.0,прямой UCI-доступ без регистрации,"10 000 строк, 14 столбцов, около 510 КБ",CSV / UCI API,"1,3",малый дидактический набор для дерева решений,низкий,синтетическая природа; объект не является электродвигателем,methodology_only
figshare_three_phase_induction_fault,MOTOR FAULT DETECTION DATA,https://figshare.com/articles/dataset/MOTOR_FAULT_DETECTION_DATA/27216219,трехфазный асинхронный двигатель,CC BY 4.0,прямая загрузка Figshare,"около 5.16 ГБ, 10 CSV-файлов",CSV,"1,3",расширенная классификация отказов после оконной агрегации,высокий,большой объем; сырые сигналы требуют извлечения признаков,methodology_only
paderborn_bearing,Paderborn University Bearing Data Center,https://mb.uni-paderborn.de/en/kat/research/bearing-datacenter,электромеханический привод с подшипниковыми дефектами,CC BY-NC 4.0,прямые MATLAB-файлы с сайта университета,"32 состояния, 4 режима, 20 измерений на режим",MAT,"1,3",академический источник для диагностики по токам и вибрациям,высокий,некоммерческая лицензия; MATLAB-формат; риск утечки по фрагментам одного подшипника,methodology_only
